STOP_SEQUENCE,CUM_TIME,CUM_DIST
11,28,2.071
21,34,3.851
26,37,4.583
30,39,5.384
34,42,5.899
39,45,6.393
43,48,6.991
48,51,7.802
52,54,8.433
55,57,8.98
58,60,9.516
62,63,10.008
64,66,10.279
68,69,10.861
69,71,11.008
69,72,11.232
73,75,11.752
76,78,12.316
80,81,12.697
83,83,13.217
86,84,13.591
96,90,14.845
102,93,15.76
104,96,16.167
104,97,16.256
115,102,18.459
117,105,18.735
119,0,0
119,1,0.016
119,4,0.032
119,6,0.048
119,7,0.059
119,10,0.061
119,13,0.065
119,15,0.077
119,18,0.081
119,20,0.201
112,21,0.616
107,24,1.751
104,27,2.385
103,28,2.569
99,30,3.241
93,33,3.963
90,36,4.429
86,39,4.928
82,42,5.411
81,44,5.589
79,45,5.943
74,48,6.618
71,51,7.125
68,54,7.654
67,57,7.883
64,60,8.447
60,63,8.79
56,66,9.292
53,69,9.716
53,70,9.916
50,72,10.419
46,75,11.029
41,78,11.796
37,81,12.29
33,84,12.686
29,87,13.274
27,90,13.796
25,91,14.085
19,96,15.051
15,99,15.792
12,102,16.359
8,105,16.914
6,108,17.482
2,111,18.199
3,0,0
10,5,1.422
14,8,2.111
21,12,3.314
27,15,4.245
29,17,4.763
33,20,5.384
38,23,5.874
43,26,6.663
47,29,7.199
50,32,7.746
53,35,8.366
57,38,8.888
61,41,9.432
64,44,9.732
68,47,10.388
68,50,10.448
69,51,10.509
70,53,10.906
74,56,11.362
77,59,11.958
83,62,12.726
94,68,14.11
119,0,0
119,17,0.172
112,19,0.524
108,22,1.468
103,27,2.527
102,28,2.752
98,31,3.387
93,34,3.985
86,40,4.925
81,44,5.579
78,46,5.993
75,49,6.411
73,52,6.788
70,55,7.173
67,57,7.826
65,58,8.094
64,61,8.511
59,64,8.894
56,67,9.272
53,70,9.75
52,71,9.917
48,73,10.654
44,76,11.24
41,79,11.686
37,82,12.251
34,85,12.503
31,88,12.807
27,91,13.633
25,92,13.954
104,0,0
104,1,0.035
104,10,0.037
104,16,0.039
104,19,0.043
104,25,0.045
104,28,0.048
104,31,0.144
101,34,0.752
