STOP_SEQUENCE,CUM_TIME,CUM_DIST
48,54,10.302
45,57,10.763
40,60,11.532
34,63,12.118
31,66,12.467
28,69,12.974
26,72,13.555
20,75,14.424
19,76,14.55
16,78,15.142
11,81,15.913
7,84,16.686
2,87,17.704
1,89,17.882
1,0,0
2,3,0.179
3,4,0.351
4,6,0.604
7,9,1.172
12,12,2.103
16,15,2.935
21,17,3.66
27,21,4.623
29,23,5.147
33,26,5.737
38,29,6.237
42,32,6.797
43,33,6.977
47,35,7.595
51,38,8.264
54,41,8.832
57,44,9.318
60,47,9.658
61,48,9.792
61,50,9.821
62,53,9.913
66,56,10.399
69,58,10.908
70,59,11.243
74,62,11.756
77,65,12.339
82,68,12.969
83,69,13.092
89,71,13.775
93,74,14.469
99,77,15.199
103,80,15.771
104,81,15.988
2,0,0
7,3,0.991
8,5,1.284
10,6,1.487
21,11,3.426
27,14,4.388
32,18,5.385
38,21,5.933
42,23,6.547
47,26,7.212
49,29,7.695
53,32,8.435
56,35,8.833
60,38,9.381
68,44,10.439
69,46,10.575
69,47,10.7
73,50,11.298
76,53,11.854
83,57,12.736
89,59,13.471
93,62,14.109
96,65,14.463
103,68,15.492
104,70,15.772
104,0,0
101,3,0.608
96,6,1.414
92,9,1.867
91,12,2.023
86,15,2.723
82,18,3.215
81,19,3.358
79,21,3.731
75,24,4.222
72,27,4.703
69,30,5.14
66,33,5.792
64,36,6.215
61,39,6.49
58,41,6.89
55,44,7.313
52,47,7.829
48,50,8.571
45,53,9.009
41,56,9.632
36,59,10.23
32,62,10.579
29,65,11.066
26,68,11.661
26,69,11.851
23,71,12.196
19,75,12.829
11,80,14.281
7,83,14.88
4,86,15.623
2,88,16.018
1,89,16.169
1,0,0
2,3,0.193
3,5,0.361
4,6,0.607
7,9,1.226
11,12,1.973
14,15,2.481
16,18,2.813
21,22,3.668
24,24,4.173
27,27,4.644
28,30,4.999
31,33,5.479
33,36,5.774
35,39,5.963
41,42,6.567
43,44,6.994
44,45,7.095
48,48,7.652
51,51,8.204
53,53,8.728
54,54,8.894
58,57,9.441
62,60,9.943
65,62,10.366
69,67,10.917
70,68,11.309
74,71,11.901
78,74,12.474
80,77,12.7
83,80,13.103
87,83,13.672
90,86,14.014
93,90,14.471
95,92,14.753
100,95,15.56
104,98,16.17
104,0,0
103,2,0.314
99,6,0.913
96,9,1.417
93,12,1.78
90,15,2.204
88,18,2.52
86,21,2.739
86,22,2.741
82,24,3.208
81,27,3.395
77,30,3.89
74,33,4.48
71,36,4.894
69,39,5.251
67,41,5.628
67,42,5.692
63,45,6.032
61,0,0
62,0,0
58,3,0.543
55,6,1.05
52,9,1.612
48,12,2.289
45,15,2.714
42,18,3.136
41,19,3.286
