Trip ID,Service,Direction,Stop Count,Start Time,End Time,Duration
37150737,Sunday,0,34,25:16:00,25:39:00,23
37150738,Sunday,0,34,26:16:00,26:39:00,23
37150739,Sunday,0,34,27:16:00,27:39:00,23
37151616,Sunday,1,35,4:39:00,5:01:00,22
37150740,Sunday,1,35,25:39:00,26:03:00,24
37150741,Sunday,1,35,26:39:00,27:03:00,24
37150742,Sunday,1,35,27:39:00,28:03:00,24
37150125,Sunday,0,50,7:29:00,8:11:00,42
37151376,Sunday,1,50,7:49:00,8:29:00,40
37150063,Sunday,1,50,8:39:00,9:20:00,41
37150092,Sunday,1,50,9:23:00,10:06:00,43
37150093,Sunday,1,50,10:03:00,10:46:00,43
37150094,Sunday,1,50,10:43:00,11:27:00,44
37150095,Sunday,1,50,11:20:00,12:07:00,47
37150096,Sunday,1,50,12:00:00,12:48:00,48
